<00> | P01 state: new_ready | P02 state: -- | P03 state: -- |
<01> | P01 state: running | P02 state: -- | P03 state: -- |
<02> | P01 state: running | P02 state: new_ready | P03 state: -- |
<03> | P01 state: running | P02 state: ready | P03 state: new_ready |
<04> | P01 state: running | P02 state: ready | P03 state: ready |
<05> | P01 state: ready | P02 state: running | P03 state: ready |
<06> | P01 state: ready | P02 state: running | P03 state: ready |
<07> | P01 state: ready | P02 state: blocked d2 | P03 state: running |
<08> | P01 state: ready | P02 state: blocked d2 | P03 state: running |
<09> | P01 state: ready | P02 state: blocked d2 | P03 state: running |
<10> | P01 state: ready | P02 state: blocked d2 | P03 state: running |
<11> | P01 state: running | P02 state: blocked d2 | P03 state: ready |
<12> | P01 state: blocked d1 | P02 state: ready | P03 state: running |
<13> | P01 state: blocked d1 | P02 state: ready | P03 state: running |
<14> | P01 state: ready | P02 state: ready | P03 state: running |
<15> | P01 state: ready | P02 state: running | P03 state: blocked d2 |
<16> | P01 state: ready | P02 state: running | P03 state: blocked d2 |
<17> | P01 state: ready | P02 state: running | P03 state: blocked d2 |
<18> | P01 state: running | P02 state: blocked d3 | P03 state: blocked d2 |
<19> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: blocked d2 |
<20> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: running |
<21> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: terminated |
<22> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: terminated |
<23> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: terminated |
<24> | P01 state: blocked queue d3 | P02 state: blocked queue d3 | P03 state: terminated |
<25> | P01 state: blocked d3 | P02 state: running | P03 state: terminated |
<26> | P01 state: blocked d3 | P02 state: running | P03 state: terminated |
<27> | P01 state: blocked d3 | P02 state: running | P03 state: terminated |
<28> | P01 state: blocked d3 | P02 state: running | P03 state: terminated |
<29> | P01 state: blocked d3 | P02 state: running | P03 state: terminated |
<30> | P01 state: blocked d3 | P02 state: blocked d2 | P03 state: terminated |
<31> | P01 state: blocked d3 | P02 state: blocked d2 | P03 state: terminated |
<32> | P01 state: running | P02 state: blocked d2 | P03 state: terminated |
<33> | P01 state: terminated | P02 state: blocked d2 | P03 state: terminated |
<34> | P01 state: terminated | P02 state: blocked d2 | P03 state: terminated |
<35> | P01 state: terminated | P02 state: running | P03 state: terminated |
<36> | P01 state: terminated | P02 state: terminated | P03 state: terminated |
| P01  device time d1: 2, device time d2: 0, device time d3: 13, waiting time: 10, throughput: 33
| P02  device time d1: 0, device time d2: 10, device time d3: 7, waiting time: 5, throughput: 34
| P03  device time d1: 0, device time d2: 5, device time d3: 0, waiting time: 4, throughput: 18
CPU idle time: 11
